STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910101,   16.3,24,    9.4,24, 1021.3,24,  988.9,24,  13.5,24,   9.3,24,  17.1, 999.9,   25.0*,  10.9*, 0.00G,  5.1, 000000,
726580,14922, 19910102,   -0.1,24,  -12.4,24, 1036.4,24, 1003.3,24,  15.9,24,  11.6,24,  17.1,  22.9,   25.0 ,  -6.0 , 0.00G,  5.1, 000000,
726580,14922, 19910103,   -2.3,24,  -11.1,24, 1037.6,24, 1004.1,24,  19.7,24,   8.8,24,  13.0, 999.9,    8.1*,  -9.9 , 0.00G,  5.1, 000000,
726580,14922, 19910104,   -0.5,24,   -9.3,24, 1033.8,24, 1000.5,24,  14.9,24,   7.9,24,  12.0, 999.9,    8.1 ,  -9.9 , 0.00G,  5.1, 000000,
726580,14922, 19910105,   10.3,24,    1.9,24, 1025.8,24,  993.1,24,   9.2,24,   5.6,24,   8.9,  18.1,   19.0 ,  -7.1 , 0.01G,  5.1, 001000,
726580,14922, 19910106,    7.4,24,   -3.6,24, 1036.4,24, 1003.4,24,  12.9,24,   7.8,24,  11.1, 999.9,   19.9 ,   0.0 , 0.00D,  5.1, 000000,
726580,14922, 19910107,    2.8,24,   -6.6,24, 1040.7,24, 1007.4,24,  13.0,24,   6.4,24,  14.0, 999.9,   12.9 ,  -5.1 , 0.00G,  5.1, 000000,
726580,14922, 19910108,   18.1,24,   13.1,24, 1026.7,24,  994.2,24,   8.4,24,  10.2,24,  13.0, 999.9,   23.0*,  10.0*, 0.00G,  5.1, 111000,
726580,14922, 19910109,    8.5,24,    1.2,24, 1031.8,24,  999.1,24,   8.6,24,   8.6,24,  14.0, 999.9,   23.0 ,  -0.9 , 0.01G,  5.1, 101000,
726580,14922, 19910110,   10.9,24,    1.1,24, 1035.9,24, 1002.9,24,  10.9,24,   7.6,24,  13.0, 999.9,   18.0*,  -0.9 , 0.00G,  5.1, 001000,
726580,14922, 19910111,   21.9,24,   17.8,24, 1023.8,24,  991.7,24,   4.4,24,   7.5,24,  14.0, 999.9,   27.0*,   8.1 , 0.18G,  7.1, 001000,
